trainx,train_y
47.5,34.0
45.166666666666664,20.0
40.2,30.0
42.25,32.0
42.2,37.0
43.0,31.0
45.0,25.0
44.8,25.0
44.0,28.0
43.8,25.0
50.25,25.0
48.25,25.0
47.333333333333336,35.0
51.75,39.0
50.6,38.0
48.8,37.0
49.0,35.0
49.333333333333336,39.0
100.28571428571429,43.0
140.5,40.0
53.0,37.0
58.75,30.0
59.0,42.0
58.5,32.0
49.5,19.0
47.333333333333336,36.0
45.333333333333336,32.0
52.75,37.0
50.666666666666664,35.0
41.6,36.0
42.5,29.0
61.6,32.0
81.6,31.0
50.25,30.0
49.2,28.0
60.75,26.0
60.5,36.0
55.0,30.0
50.666666666666664,29.0
46.833333333333336,11.0
42.25,9.0
56.8,9.0
162.0,19.0
115.75,15.0
39.285714285714285,14.0
44.0,14.0
44.75,36.0
45.25,35.0
39.0,25.0
34.0,10.0
57.8,10.0
42.6,11.0
18.0,7.0
19.75,6.0
20.0,11.0
21.8,6.0
29.25,9.0
31.666666666666668,5.0
32.5,7.0
35.714285714285715,3.0
34.0,2.0
34.8,2.0
37.2,4.0
38.285714285714285,9.0
35.285714285714285,9.0
38.333333333333336,6.0
46.666666666666664,2.0
83.33333333333333,1.0
172.75,1.0
27.0,6.0
18.0,10.0
27.0,10.0
24.166666666666668,7.0
17.0,12.0
75.33333333333333,15.0
98.2,12.0
48.833333333333336,7.0
49.666666666666664,10.0
62.2,15.0
62.25,13.0
66.0,9.0
77.5,1.0
76.33333333333333,1.0
76.0,2.0
84.0,8.0
84.66666666666667,10.0
83.16666666666667,5.0
80.66666666666667,1.0
87.5,1.0
95.8,1.0
121.5,6.0
118.0,7.0
116.0,8.0
110.0,1.0
84.0,1.0
30.666666666666668,1.0
16.25,12.0
17.25,5.0
16.5,15.0
16.0,6.0
15.142857142857142,18.0
16.88888888888889,9.0
67.75,13.0
58.6,7.0
40.25,9.0
36.0,8.0
13.0,1.0
8.333333333333334,1.0
11.166666666666666,2.0
7.571428571428571,8.0
5.5,10.0
2.5,5.0
1.3333333333333333,1.0
3.3333333333333335,1.0
5.5,6.0
4.5,7.0
4.5,8.0
7.4,1.0
6.0,1.0
7.5,1.0
10.0,12.0
13.0,5.0
11.75,15.0
11.4,6.0
10.833333333333334,18.0
11.6,9.0
16.2,13.0
14.166666666666666,7.0
14.0,9.0
17.5,8.0
33.75,21.0
33.42857142857143,24.0
35.2,18.0
30.142857142857142,23.0
26.75,16.0
25.625,19.0
22.5,18.0
20.25,18.0
18.8,7.0
19.666666666666668,9.0
22.555555555555557,9.0
21.571428571428573,13.0
22.714285714285715,9.0
18.0,17.0
19.333333333333332,19.0
22.125,20.0
22.142857142857142,18.0
23.77777777777778,17.0
19.375,17.0
24.8,16.0
24.625,18.0
26.0,18.0
25.2,19.0
25.666666666666668,18.0
24.333333333333332,7.0
22.8,12.0
19.571428571428573,13.0
13.0,15.0
23.0,18.0
12.666666666666666,12.0
13.75,12.0
12.5,7.0
10.333333333333334,8.0
8.714285714285714,4.0
9.285714285714286,15.0
11.285714285714286,16.0
15.142857142857142,24.0
16.77777777777778,8.0
15.142857142857142,8.0
15.5,12.0
14.88888888888889,12.0
15.777777777777779,15.0
13.5,15.0
13.0,17.0
12.4,14.0
10.625,11.0
11.0,7.0
14.0,1.0
13.833333333333334,3.0
15.5,3.0
6.333333333333333,13.0
9.333333333333334,1.0
5.666666666666667,4.0
10.0,3.0
11.833333333333334,12.0
6.428571428571429,11.0
15.0,8.0
13.75,3.0
14.75,12.0
16.875,16.0
15.25,18.0
14.222222222222221,13.0
15.777777777777779,13.0
14.0,19.0
12.6,12.0
10.833333333333334,13.0
9.88888888888889,9.0
9.166666666666666,11.0
9.714285714285714,6.0
11.0,3.0
10.571428571428571,2.0
10.333333333333334,14.0
21.666666666666668,9.0
21.5,16.0
19.4,16.0
14.625,23.0
11.4,20.0
10.8,14.0
12.0,19.0
13.857142857142858,15.0
13.833333333333334,19.0
14.7,6.0
16.857142857142858,16.0
21.166666666666668,15.0
20.0,26.0
21.333333333333332,16.0
9.0,8.0
7.857142857142857,5.0
10.5,4.0
12.666666666666666,13.0
15.6,6.0
13.428571428571429,15.0
17.2,11.0
15.571428571428571,14.0
24.8,14.0
31.25,16.0
29.8,18.0
20.333333333333332,18.0
10.125,13.0
11.571428571428571,19.0
11.75,19.0
14.857142857142858,17.0
15.6,7.0
15.0,7.0
10.428571428571429,14.0
12.2,17.0
12.571428571428571,10.0
7.75,4.0
6.142857142857143,1.0
6.2,3.0
13.285714285714286,1.0
13.5,4.0
14.4,9.0
12.222222222222221,13.0
10.75,13.0
12.833333333333334,8.0
10.6,7.0
18.4,4.0
22.857142857142858,12.0
29.8,29.0
34.5,35.0
27.333333333333332,33.0
24.0,24.0
25.11111111111111,18.0
23.6,17.0
26.0,16.0
30.4,19.0
26.2,25.0
27.333333333333332,23.0
28.571428571428573,28.0
33.833333333333336,20.0
30.5,24.0
29.333333333333332,21.0
28.714285714285715,17.0
11.875,18.0
18.142857142857142,8.0
23.0,16.0
25.5,16.0
26.444444444444443,16.0
27.4,17.0
30.666666666666668,19.0
31.375,20.0
30.285714285714285,22.0
34.833333333333336,14.0
36.8,24.0
28.0,17.0
28.2,22.0
26.5,744.0
24.25,11.0
29.0,12.0
25.333333333333332,14.0
18.0,20.0
26.666666666666668,21.0
38.0,21.0
39.666666666666664,29.0
33.75,30.0
24.166666666666668,28.0
24.333333333333332,21.0
26.0,12.0
27.8,12.0
30.833333333333332,16.0
32.5,24.0
34.5,22.0
36.42857142857143,22.0
35.111111111111114,18.0
33.375,18.0
32.666666666666664,16.0
35.0,18.0
33.25,21.0
27.571428571428573,20.0
26.0,17.0
23.833333333333332,18.0
25.0,25.0
32.0,23.0
33.333333333333336,28.0
32.6,20.0
31.25,25.0
33.166666666666664,25.0
33.0,26.0
25.666666666666668,21.0
26.142857142857142,12.0
28.5,13.0
28.571428571428573,14.0
26.833333333333332,20.0
25.0,18.0
23.2,15.0
23.6,16.0
23.75,17.0
26.0,16.0
30.0,18.0
30.0,23.0
27.714285714285715,25.0
27.6,23.0
29.857142857142858,20.0
33.5,34.0
33.5,20.0
33.333333333333336,30.0
35.2,32.0
34.2,37.0
34.5,31.0
36.833333333333336,25.0
38.333333333333336,25.0
37.5,28.0
38.75,25.0
36.0,25.0
35.0,25.0
38.333333333333336,35.0
41.0,39.0
38.4,38.0
39.857142857142854,37.0
40.0,35.0
42.857142857142854,39.0
42.75,43.0
40.166666666666664,40.0
39.5,37.0
44.42857142857143,30.0
49.8,42.0
51.142857142857146,32.0
37.666666666666664,19.0
34.0,36.0
33.4,32.0
31.0,37.0
30.5,35.0
32.0,36.0
32.0,29.0
34.75,32.0
38.5,31.0
42.0,30.0
44.666666666666664,28.0
50.714285714285715,26.0
47.0,36.0
36.0,30.0
31.75,29.0
29.5,11.0
27.6,9.0
27.571428571428573,9.0
23.666666666666668,19.0
22.285714285714285,15.0
26.0,14.0
30.5,14.0
32.714285714285715,36.0
25.6,35.0
16.0,25.0
24.25,10.0
24.0,10.0
12.75,11.0
5.375,7.0
7.2,6.0
12.4,11.0
9.2,6.0
14.625,9.0
13.5,5.0
14.428571428571429,7.0
10.333333333333334,3.0
9.4,2.0
7.0,2.0
7.666666666666667,4.0
7.25,9.0
9.0,1.0
24.0,1.0
4.2,1.0
8.5,1.0
10.0,1.0
16.75,1.0
4.625,2.0
9.0,2.0
9.75,2.0
11.0,2.0
2.0,8.0
8.8,8.0
9.666666666666666,8.0
8.333333333333334,8.0
1.3333333333333333,10.0
8.333333333333334,10.0
9.0,10.0
7.0,10.0
0.0,5.0
7.571428571428571,5.0
8.0,5.0
3.5,5.0
0.0,1.0
6.0,1.0
6.333333333333333,1.0
2.0,1.0
0.0,1.0
5.0,1.0
5.0,1.0
5.0,1.0
0.6666666666666666,1.0
4.5,1.0
5.0,1.0
8.333333333333334,1.0
1.6,6.0
4.25,6.0
6.0,6.0
7.0,6.0
3.3333333333333335,7.0
5.333333333333333,7.0
5.0,7.0
7.0,7.0
2.5,8.0
5.0,8.0
5.666666666666667,8.0
10.6,8.0
2.0,1.0
5.0,1.0
5.0,1.0
11.0,1.0
1.6666666666666667,1.0
4.5,1.0
7.0,1.0
7.666666666666667,1.0
2.6666666666666665,1.0
6.0,1.0
7.375,1.0
8.4,1.0
4.0,12.0
6.5,12.0
8.333333333333334,12.0
15.5,12.0
7.8,5.0
8.666666666666666,5.0
11.0,5.0
14.75,5.0
7.333333333333333,15.0
10.0,15.0
